Site	Clock.Today	SimulationNnme	Cult	Sow	Nit	AboveGroundWt	Leaf.Live.Wt	Stem.Live.Wt	Dead.Wt	Pod.Live.Wt	GrainWt	Grain.Live.Wt	Leaf.NConc	leaf.N	Stem.N.Conc	Stem.N	Grain.NConc
()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()	()
HawkesBay	2018-11-07	HawkesBayCultASowEarlyNitNil	A	Early	Nil	*	47.8956563	35.55563272	0	*	*	*	0.049845	2.398076088	0.0364975	1.322128374	*
HawkesBay	2018-11-07	HawkesBayCultBSowEarlyNitNil	B	Early	Nil	*	83.83198574	122.5193928	0	*	*	*	0.0475475	3.985458257	0.036725	4.491148761	*
HawkesBay	2018-11-07	HawkesBayCultBSowEarlyNitEarly	B	Early	Early	*	61.64358855	85.654458	0	*	*	*	0.04822	2.958620446	0.03798	3.244765088	*
HawkesBay	2018-11-07	HawkesBayCultBSowEarlyNitLate	B	Early	Late	*	75.13627005	103.1999673	0	*	*	*	0.046385	3.502730551	0.0357975	3.686368796	*
HawkesBay	2018-11-21	HawkesBayCultASowEarlyNitNil	A	Early	Nil	*	142.904565	127.7300467	6.045239488	*	*	*	0.049245	7.042708142	0.0302	3.863569265	*
HawkesBay	2018-11-21	HawkesBayCultBSowEarlyNitNil	B	Early	Nil	*	98.45060254	262.6002228	14.98348745	*	*	*	0.044875	4.408132872	0.027405	7.212585031	*
HawkesBay	2018-11-21	HawkesBayCultBSowEarlyNitEarly	B	Early	Early	*	77.33730103	187.5248812	5.302171054	*	*	*	0.04337	3.315998601	0.0296175	5.590319968	*
HawkesBay	2018-11-21	HawkesBayCultBSowEarlyNitLate	B	Early	Late	*	91.96412805	238.9980479	10.84725694	*	*	*	0.0441675	4.063199738	0.0288275	6.875463032	*
HawkesBay	2018-11-21	HawkesBayCultBSowMidNitNil	B	Mid	Nil	*	20.30280236	28.55237821	0	*	*	*	*	*	*	*	*
HawkesBay	2018-12-06	HawkesBayCultASowEarlyNitNil	A	Early	Nil	*	159.3235301	266.2107318	50.42046553	*	*	*	0.053425	8.507063603	0.025165	6.462859297	*
