Date	Event	Plot	Block	Trt_num	Trt_name	Cultivar	Sowing_Date	N_timing	HA	PP	TFW	TFW2	SSFW	SSDW	partFW	greenleafFW	greenstemFW	deadFW	greenpodFW	maturepodFW	grainFW	maturegrainFW	Pea_num	Leaf_area	Stem_area	Pod_area	greenleafDW	greenstemDW	deadDW	greenpodDW	maturepodDW	grainDW	maturegrainDW	Final_residueFW	Final_podFW	Final_grainFW	Pod_num	Final_grainSprouted	Final_grainSproutedFW	Final_100grainFW	Final_GreenPodNumber	Final_GreenPodFW	Final_residueDW	Final_podDW	Final_100grainDW	Final_greenPodDW	Final_grainSproutedDW	Final_GrainMoisture	Final_GrainCount	Final_grainFW_hb2	N_Content_Green_Leaf	N_Content_Green_Stem	N_Content_Dead	N_Content_Green_Pod	N_Content_Green_Grain	N_Content_Mat_Grain	N_Content_Mat_Pod	N_Content_Residue	Site	deadstemFW	deadleafFW	greengrainFW	deadstemDW	deadleafDW	greengrainDW	GreenPeaNum	MaturePeaNum	Final_ResidueSubFW	FinalPodPeaFW	Final_Pod_num	Final_ResidueSubDW	N_Content_Dead_Stem	N_Content_Dead_Leaf	SampleFW	PARTFW	SampleLeafDW	SampleStemDW	SamplePodDW	SampleDeadDW	SampleGWt	SampleShellWt	SpoutedPC	SampleAveWt	SampleFGW	SampleGrainWT	PC	perM	partDW	AboveGroundWt	leafLiveWt	StemLiveWt	DeadWt	PodLiveWt	ShellWt	GrainWt	GrainLiveWt	LeafArea	leafLAI	StemArea	stemGAI	PodArea	podGAI	GAI	LeafNConc	leafN	StemNConc	StemN	GrainNConc	GrainLiveN	GrainMatureNConc	GrainMatureN	Grain_crudeP	PodNConc	PodLiveN	PodMatureNConc	PodMatureN
2018-11-07	H1	1	1	1	CA_E_0N	Cult A	Early	0N	0.5	126	206.6	NA	175.6	24.9	31	17.1	10.9	NA	NA	0	NA	NA	NA	523.5	53.4	NA	2.9	1.5	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.727	3.386	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	206.6	31	2.9	1.5	NA	0	0	NA	0	NA	0	0	6.66451612903226	13.3290322580645	NA	NA	38.6541935483871	19.9935483870968	0	NA	NA	0	0	6977.74838709677	0.697774838709677	711.770322580645	0.0711770322580645	NA	NA	NA	0.04727	1.82718372903226	0.03386	0.676981548387097	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	2	1	3	CB_E_EN	Cult B	Early	Early N	0.5	112	205	NA	188.9	25	16.1	16.1	29.1	NA	NA	0	NA	NA	NA	628.04	162.82	NA	2.7	3.9	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.615	3.734	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	205	16.1	2.7	3.9	NA	0	0	NA	0	NA	0	0	12.7329192546584	25.4658385093168	NA	NA	68.7577639751553	99.3167701863354	0	NA	NA	0	0	15993.5652173913	1.59935652173913	4146.34782608696	0.414634782608696	NA	NA	NA	0.04615	3.17317080745342	0.03734	3.70848819875776	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	4	1	4	CB_E_LN	Cult B	Early	Late N	0.5	126	245.5	NA	230.5	30.8	15	15	25.9	NA	NA	0	NA	NA	NA	564.26	131.25	NA	2.5	3.3	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.28	3.487	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	245.5	15	2.5	3.3	NA	0	0	NA	0	NA	0	0	16.3666666666667	32.7333333333333	NA	NA	81.8333333333333	108.02	0	NA	NA	0	0	18470.1106666667	1.84701106666667	4296.25	0.429625	NA	NA	NA	0.0428	3.50246666666667	0.03487	3.7666574	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	6	1	2	CB_E_0N	Cult B	Early	0N	0.5	80	195.2	NA	179.3	24.4	15.9	15.9	29.7	NA	NA	0	NA	NA	NA	552.19	141.9	NA	2.7	3.8	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.741	3.722	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	195.2	15.9	2.7	3.8	NA	0	0	NA	0	NA	0	0	12.2767295597484	24.5534591194969	NA	NA	66.2943396226415	93.3031446540881	0	NA	NA	0	0	13558.174591195	1.3558174591195	3484.1358490566	0.34841358490566	NA	NA	NA	0.04741	3.14301464150943	0.03722	3.47274304402516	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	7	2	4	CB_E_LN	Cult B	Early	Late N	0.5	108	237	NA	214.5	28.9	22.5	22.5	44.1	NA	NA	0	NA	NA	NA	846.33	241.37	NA	3.6	5.5	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.678	3.596	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	237	22.5	3.6	5.5	NA	0	0	NA	0	NA	0	0	10.5333333333333	21.0666666666667	NA	NA	75.84	115.866666666667	0	NA	NA	0	0	17829.352	1.7829352	5084.86133333333	0.508486133333333	NA	NA	NA	0.04678	3.5477952	0.03596	4.16656533333333	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	8	2	2	CB_E_0N	Cult B	Early	0N	0.5	108	319.6	NA	298.7	49	20.9	20.9	42.7	NA	NA	0	NA	NA	NA	797.75	223.67	NA	3.5	5.5	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.738	3.629	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	319.6	20.9	3.5	5.5	NA	0	0	NA	0	NA	0	0	15.2918660287081	30.5837320574163	NA	NA	107.043062200957	168.210526315789	0	NA	NA	0	0	24398.1722488038	2.43981722488038	6840.6633492823	0.68406633492823	NA	NA	NA	0.04738	5.07170028708134	0.03629	6.10436	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	9	2	3	CB_E_EN	Cult B	Early	Early N	0.5	88	168.4	NA	148.7	19.8	19.7	19.7	38.2	NA	NA	0	NA	NA	NA	734.44	200.08	NA	3.2	4.8	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.787	3.838	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168.4	19.7	3.2	4.8	NA	0	0	NA	0	NA	0	0	8.54822335025381	17.0964467005076	NA	NA	54.7086294416244	82.0629441624365	0	NA	NA	0	0	12556.3143147208	1.25563143147208	3420.65705583756	0.342065705583756	NA	NA	NA	0.04787	2.61890209137056	0.03838	3.14957579695431	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	10	2	1	CA_E_0N	Cult A	Early	0N	0.5	92	178.5	NA	151.3	20.9	27.2	27.2	20	NA	NA	0	NA	NA	NA	837.3	107.58	NA	4.4	2.5	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	5.178	3.862	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	178.5	27.2	4.4	2.5	NA	0	0	NA	0	NA	0	0	6.5625	13.125	NA	NA	57.75	32.8125	0	NA	NA	0	0	10989.5625	1.09895625	1411.9875	0.14119875	NA	NA	NA	0.05178	2.990295	0.03862	1.26721875	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	15	3	2	CB_E_0N	Cult B	Early	0N	0.5	96	243.5	NA	221.6	28.8	21.9	21.9	39.7	NA	NA	0	NA	NA	NA	768.63	201.76	NA	3.6	5.1	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.761	3.65	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	243.5	21.9	3.6	5.1	NA	0	0	NA	0	NA	0	0	11.1187214611872	22.2374429223744	NA	NA	80.054794520548	113.41095890411	0	NA	NA	0	0	17092.3657534247	1.70923657534247	4486.62648401826	0.448662648401826	NA	NA	NA	0.04761	3.81140876712329	0.0365	4.1395	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	16	3	4	CB_E_LN	Cult B	Early	Late N	0.5	60	151.3	NA	125.7	16.9	25.6	25.6	40.4	NA	NA	0	NA	NA	NA	878.8	185.04	NA	4.1	5	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.568	3.65	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	151.3	25.6	4.1	5	NA	0	0	NA	0	NA	0	0	5.91015625	11.8203125	NA	NA	48.46328125	59.1015625	0	NA	NA	0	0	10387.690625	1.0387690625	2187.230625	0.2187230625	NA	NA	NA	0.04568	2.2138026875	0.0365	2.15720703125	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	17	3	1	CA_E_0N	Cult A	Early	0N	0.5	80	144.6	NA	118.7	16.1	25.9	25.4	17.4	NA	NA	0	NA	NA	NA	716.83	84.21	NA	4.3	2.2	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	5.04	3.532	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	144.6	25.9	4.3	2.2	NA	0	0	NA	0	NA	0	0	5.58301158301158	11.1660231660232	NA	NA	48.0138996138996	24.565250965251	0	NA	NA	0	0	8004.14038610039	0.800414038610039	940.290810810811	0.0940290810810811	NA	NA	NA	0.0504	2.41990054054054	0.03532	0.867644664092664	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	18	3	3	CB_E_EN	Cult B	Early	Early N	0.5	70	134.5	NA	114.1	14.7	20.4	20.4	38.3	NA	NA	0	NA	NA	NA	792.83	190.83	NA	3.5	4.8	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	5.082	3.874	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	134.5	20.4	3.5	4.8	NA	0	0	NA	0	NA	0	0	6.59313725490196	13.1862745098039	NA	NA	46.1519607843137	63.2941176470588	0	NA	NA	0	0	10454.4740196078	1.04544740196078	2516.33676470588	0.251633676470588	NA	NA	NA	0.05082	2.34544264705882	0.03874	2.45201411764706	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	19	4	1	CA_E_0N	Cult A	Early	0N	0.5	96	149.6	NA	129.3	17.7	20.3	20.3	12.3	NA	NA	0	NA	NA	NA	613.79	60.83	NA	3.2	4.4	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.993	3.819	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	149.6	20.3	3.2	4.4	NA	0	0	NA	0	NA	0	0	7.36945812807882	14.7389162561576	NA	NA	47.1645320197044	64.8512315270936	0	NA	NA	0	0	9046.599408867	0.9046599408867	896.568275862069	0.0896568275862069	NA	NA	NA	0.04993	2.35492508374384	0.03819	2.4766685320197	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	20	4	4	CB_E_LN	Cult B	Early	Late N	0.5	114	278.8	NA	259.9	33.1	18.9	18.9	33.9	NA	NA	0	NA	NA	NA	681.04	178.52	NA	3.2	4.4	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	5.028	3.586	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	278.8	18.9	3.2	4.4	NA	0	0	NA	0	NA	0	0	14.7513227513227	29.5026455026455	NA	NA	94.4084656084656	129.81164021164	0	NA	NA	0	0	20092.4816931217	2.00924816931217	5266.81227513228	0.526681227513228	NA	NA	NA	0.05028	4.74685765079365	0.03586	4.65504541798942	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	22	4	2	CB_E_0N	Cult B	Early	0N	0.5	92	244.7	NA	222.6	29.1	22.1	22.1	40.8	NA	NA	0	NA	NA	NA	779.67	210.13	NA	3.7	5.2	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.779	3.689	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	244.7	22.1	3.7	5.2	NA	0	0	NA	0	NA	0	0	11.0723981900452	22.1447963800905	NA	NA	81.9357466063348	115.152941176471	0	NA	NA	0	0	17265.6333936652	1.72656333936652	4653.28606334842	0.465328606334842	NA	NA	NA	0.04779	3.91570933031674	0.03689	4.247992	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-07	H1	23	4	3	CB_E_EN	Cult B	Early	Early N	0.5	102	233.2	NA	213.2	27.5	20	20.6	34.4	NA	NA	0	NA	NA	NA	704.15	164.11	NA	3.3	4.2	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.804	3.746	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	233.2	20	3.3	4.2	NA	0	0	NA	0	NA	0	0	11.66	23.32	NA	NA	76.956	97.944	0	NA	NA	0	0	16420.778	1.6420778	3827.0452	0.38270452	NA	NA	NA	0.04804	3.69696624	0.03746	3.66898224	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-21	H2	1	1	1	CA_E_0N	Cult A	Early	0N	0.5	94	755.2	731	565.1	90.4	157.9	76.8	78.6	0.5	NA	0	NA	NA	NA	2465.37	397.2	NA	13.1	11.4	0	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.718	2.913	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	755.2	157.9	13.1	11.4	NA	0.5	0	NA	0	NA	0	0	4.78277390753642	9.56554781507283	NA	NA	125.308676377454	109.04724509183	4.78277390753642	NA	NA	0	0	23582.6146168461	2.35826146168461	3799.43559214693	0.379943559214693	NA	NA	NA	0.04718	5.91206335148828	0.02913	3.17654624952502	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-21	H2	2	1	3	CB_E_EN	Cult B	Early	Early N	0.5	90	583.2	561.4	351.6	54.2	198.5	45.6	137.1	1.5	NA	0	NA	NA	NA	1987.4	922.19	NA	8.5	20.9	0.6	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.675	2.84	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	583.2	198.5	8.5	20.9	NA	1.5	0	NA	0	NA	0	0	2.93803526448363	5.87607052896726	NA	NA	49.9465994962217	122.809874055416	8.81410579345088	NA	NA	0	0	11678.1025692695	1.16781025692695	5418.85348110831	0.541885348110831	NA	NA	NA	0.04675	2.33500352644836	0.0284	3.4878004231738	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-21	H2	4	1	4	CB_E_LN	Cult B	Early	Late N	0.5	104	1002.6	975.7	709.8	105	252.3	60.9	180.9	0.3	NA	0	NA	NA	NA	2526.68	1149.51	NA	10.6	26.4	0.2	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.068	2.843	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1002.6	252.3	10.6	26.4	NA	0.3	0	NA	0	NA	0	0	3.97384066587396	7.94768133174792	NA	NA	84.2454221165279	209.818787158145	2.38430439952438	NA	NA	0	0	20081.2474673008	2.00812474673008	9135.93916765755	0.913593916765755	NA	NA	NA	0.04068	3.42710377170036	0.02843	5.96514811890606	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-21	H2	5	1	5	CB_M_0N	Cult B	Mid	0N	0.5	92	168.7	159.9	115.5	18.7	38.2	13.1	22	0	NA	0	NA	NA	NA	503.85	124.69	NA	2.4	3.4	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	168.7	38.2	2.4	3.4	NA	0	0	NA	0	NA	0	0	4.41623036649215	8.83246073298429	NA	NA	21.1979057591623	30.0303664921466	0	NA	NA	0	0	4450.23534031414	0.445023534031414	1101.31952879581	0.110131952879581	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-21	H2	6	1	2	CB_E_0N	Cult B	Early	0N	0.5	66	1042.4	1000.4	763.4	116.1	216.9	50	151	2.3	NA	0	NA	NA	NA	2305.19	787.67	NA	8.8	22.6	0.8	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.548	2.926	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1042.4	216.9	8.8	22.6	NA	2.3	0	NA	0	NA	0	0	4.80590133702167	9.61180267404334	NA	NA	84.5838635315814	217.226740433379	22.1071461502997	NA	NA	0	0	22157.031406178	2.2157031406178	7570.92861226372	0.757092861226372	NA	NA	NA	0.04548	3.84687411341632	0.02926	6.35605442508068	NA	NA	NA	NA	NA	NA	NA	NA	NA
2018-11-21	H2	7	2	4	CB_E_LN	Cult B	Early	Late N	0.5	98	1097.5	1058.7	785.6	118.6	257.1	59.1	179.4	3.1	NA	0	NA	NA	NA	2890.34	953.92	NA	9.8	30.1	1.1	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	4.7	2.534	-	NA	NA	NA	NA	-	HawkesBay	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1097.5	257.1	9.8	30.1	NA	3.1	0	NA	0	NA	0	0	4.26876701672501	8.53753403345002	NA	NA	83.6678335278102	256.979774406846	26.4663555036951	NA	NA	0	0	24676.3761182419	2.46763761182419	8144.12446518864	0.814412446518864	NA	NA	NA	0.047	3.93238817580708	0.02534	6.51186748346947	NA	NA	NA	NA	NA	NA	NA	NA	NA
